Full Tag Name,Equip Number,Main Equipment ,Unique Number,"Colloquial Name
",Element Type,PLC Tag,UDT Type,Data Type,Units,Raw Min,Raw Max,EU Min,EU Max
FS-ZIT-0324,324,3,24,Charge Ram Position,Instrument,FS_ZIT_0324,AI,AI,in,4000,20000,0,180
CAI-ZIT-0664,664,6,64,Upper Ram Position,Instrument,CAI_ZIT_0664,AI,AI,in,4000,20000,0,180
CAI-ZIT-0674,674,6,74,Lower Ram Position,Instrument,CAI_ZIT_0674,AI,AI,in,4000,20000,0,180
CAI-PDT-0688A,688,6,88,Sidefire Air Flow A,Instrument,CAI_PDT_0688A,AI,AI,,4000,20000,0,10
CAI-PDT-0688B,688,6,88,Sidefire Air Flow B,Instrument,CAI_PDT_0688B,AI,AI,,4000,20000,0,10
CAI-PDT-0689A,689,6,89,Underfire Air Flow A,Instrument,CAI_PDT_0689A,AI,AI,,4000,20000,0,10
CAI-PDT-0689B,689,6,89,Underfire Air Flow B,Instrument,CAI_PDT_0689B,AI,AI,,4000,20000,0,10
CAI-PDT-0689C,689,6,89,Underfire Air Flow C,Instrument,CAI_PDT_0689C,AI,AI,,4000,20000,0,10
CAI-PDT-0689D,689,6,89,Underfire Air Flow D,Instrument,CAI_PDT_0689D,AI,AI,,4000,20000,0,10
CAI-PIT-0699,699,6,99,Primary Chamber Draft,Instrument,CAI_PIT_0699,AI,AI,,4000,20000,-4,4
APC-AIT-0988,988,9,88,Exhaust Oxygen Level,Instrument,APC_AIT_0988,AI,AI,%,4000,20000,0,21
APC-PIT-1221,1221,12,21,Emergency Bypass Press,Instrument,APC_PIT_1221,AI,AI,psig,4000,20000,0,150
AUX-FIT-1506,1506,15,6,SNCR Reagent Flow,Instrument,AUX_FIT_1506,AI,AI,gph,4000,20000,0,6
APC-FIT-2108,2108,21,8,Prequench Water Flowrate,Instrument,APC_FIT_2108,AI,AI,gpm,4000,20000,0,18
APC-FIT-2408,2408,24,8,PEC Freshwater Flowrate,Instrument,APC_FIT_2408,AI,AI,gpm,4000,20000,0,18
APC-FIT-2428,2428,24,28,PEC Brine Flowrate,Instrument,APC_FIT_2428,AI,AI,gpm,4000,20000,0,200
APC-LT-2441,2441,24,41,PEC Sump Level,Instrument,APC_LT_2441,AI,AI,,4000,20000,,
APC-ZIT-2451,2451,24,51,PEC Water Valve,Instrument,APC_ZIT_2451,AI,AI,%,4000,20000,0,100
APC-AIT-2488,2488,24,88,PEC Brine pH,Instrument,APC_AIT_2488,AI,AI,pH,4000,20000,0,14
APC-PIT-2707,2707,27,7,AGR Outlet Press,Instrument,APC_PIT_2707,AI,AI,in wc,4000,20000,-4,4
APC-FIT-2728,2728,27,28,AGR Brine Flowrate,Instrument,APC_FIT_2728,AI,AI,gpm,4000,20000,0,300
APC-AIT-2788,2788,27,88,AGR Brine pH,Instrument,APC_AIT_2788,AI,AI,pH,4000,20000,0,14
APC-PDIT-3007,3007,30,7,PR Venturi dP,Instrument,APC_PDIT_3007,AI,AI,in wc,4000,20000,0,80
APC-FT-3028,3028,30,28,PR Brine Flowrate,Instrument,APC_FT_3028,AI,AI,,4000,20000,,
APC-ZIT-3051,3051,30,51,PR Brine Valve,Instrument,APC_ZIT_3051,AI,AI,%,4000,20000,0,100
APC-ZIT-3901,3901,39,1,Demister Fill Valve,Instrument,APC_ZIT_3901,AI,AI,%,4000,20000,0,100
APC-FIT-3902,3902,39,2,Demister Makeup Flowrate,Instrument,APC_FIT_3902,AI,AI,gpm,4000,20000,0,18
APC-PDIT-3907,3907,39,7,Demister dP,Instrument,APC_PDIT_3907,AI,AI,in wc,4000,20000,-4,4
APC-VT-4801,4801,48,1,ID Fan Vibration,Instrument,APC_VT_4801,AI,AI,in/sec,4000,20000,0,1
APC-PIT-4807,4807,48,7,ID Fan Inlet Press,Instrument,APC_PIT_4807,AI,AI,in wc,4000,20000,-80,0
APC-PDIT-4901,4901,49,1,Carbon Bed 1 dP,Instrument,APC_PDIT_4901,AI,AI,,4000,20000,,
APC-PDIT-4902,4902,49,2,Carbon Bed 2 dP,Instrument,APC_PDIT_4902,AI,AI,,4000,20000,,
APC-PDIT-4903,4903,49,3,Carbon Bed Filter dP,Instrument,APC_PDIT_4903,AI,AI,,4000,20000,,
APC-PIT-4910,4910,49,10,Carbon Bed Inlet Press,Instrument,APC_PIT_4910,AI,AI,in wc,4000,20000,-4,4
